City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Yaqui,MX,27.3667,-110.1667,65.12,55,100,6.53,overcast clouds
211,Balakhta,RU,55.38,91.6,12.83,96,100,2.51,overcast clouds
212,Andahuaylas,PE,-13.6556,-73.3872,55.65,82,100,1.59,overcast clouds
213,Solnechnyy,RU,50.7214,136.6319,-13.36,85,30,4.32,scattered clouds
214,Essex,US,40.7834,-74.2163,39.18,86,90,1.01,light rain
215,Ruswil,CH,47.0843,8.1265,41.72,87,100,3.04,light rain
216,Hay River,CA,60.8156,-115.7999,-22.34,95,18,4.63,few clouds
217,Sibolga,ID,1.7427,98.7792,85.39,59,82,2.68,broken clouds
218,Awbari,LY,26.5921,12.7805,55.87,33,7,6.33,clear sky
219,Hecun,CN,36.5333,114.1111,35.24,40,0,3.91,clear sky
220,Te Anau,NZ,-45.4167,167.7167,61.61,42,69,3.53,broken clouds
221,Hualmay,PE,-11.0964,-77.6139,68.54,85,100,5.77,overcast clouds
222,Namibe,AO,-15.1961,12.1522,66.29,75,78,6.62,broken clouds
223,Ponta Do Sol,PT,32.6667,-17.1,67.01,82,16,2.93,few clouds
224,Hami,CN,42.8,93.45,20.37,33,5,3.09,clear sky
225,Flin Flon,CA,54.7682,-101.865,-3.15,98,100,3.89,light snow
226,Maceio,BR,-9.6658,-35.7353,78.24,88,75,1.14,broken clouds
227,Bozuyuk,TR,39.9078,30.0367,40.26,88,99,7.02,overcast clouds
228,Buraydah,SA,26.326,43.975,51.98,48,96,8.68,overcast clouds
229,Koutiala,ML,12.3917,-5.4642,74.17,14,100,8.14,overcast clouds
230,Tomioka,JP,36.25,138.9,44.42,29,5,12.86,clear sky
231,Dunedin,NZ,-45.8742,170.5036,56.8,70,66,1.99,broken clouds
232,Bismarck,US,46.8083,-100.7837,-7.13,75,90,5.75,overcast clouds
233,Itarema,BR,-2.9248,-39.9167,79.65,81,26,10.74,scattered clouds
234,Manggar,ID,-2.8833,108.2667,84.24,70,100,8.9,overcast clouds
235,Faanui,PF,-16.4833,-151.75,80.71,65,100,3.53,overcast clouds
