City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
39,Kupang,ID,86.58,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
42,Meulaboh,ID,81.97,scattered clouds,4.1363,96.1285,Kost Pria
43,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Bungalow 63
48,Naguilian,PH,71.44,overcast clouds,17.0231,121.837,Roxas District
50,Pemangkat,ID,82.89,overcast clouds,1.1667,108.9667,Ramah Kost KITA
52,Formosa,AR,73.38,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
54,Misratah,LY,61.25,clear sky,32.3754,15.0925,Almasa Hotel
58,Lere,NG,62.89,few clouds,10.387,8.5726,
60,Inongo,CD,70.66,overcast clouds,-1.95,18.2667,Hotel Du Lac
62,Waingapu,ID,87.76,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
64,Mahebourg,MU,80.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
68,Port Lincoln,AU,67.8,clear sky,-34.7333,135.8667,Port Lincoln Hotel
72,Cabo San Lucas,MX,74.05,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
73,Ixtapa,MX,70.83,clear sky,20.7,-105.2,Hotel Plaza Providencia
74,Arraial Do Cabo,BR,73.83,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
78,Obo,CF,71.38,overcast clouds,5.3998,26.4869,
79,Cap Malheureux,MU,80.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
80,Devonport,AU,70.79,clear sky,-41.1667,146.35,Gateway Hotel by Nightcap Plus
81,Cape Canaveral,US,67.98,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
82,Sale,MA,61.75,broken clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
83,Hermanus,ZA,62.91,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
86,Salalah,OM,71.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
89,Saurimo,AO,64.06,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
90,Aguie,NE,60.51,clear sky,13.506,7.7786,
92,Bambous Virieux,MU,80.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
93,Hobyo,SO,76.28,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
95,Rikitea,PF,75.96,light rain,-23.1203,-134.9692,People ThankYou
97,Sola,VU,83.3,broken clouds,-13.8833,167.55,Leumerus Bungalows
99,Castro,BR,64.96,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
100,Port Moresby,PG,87.24,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
