City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
669,Presidente Medici,BR,74.91,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
671,Phra Phutthabat,TH,82.65,clear sky,14.7253,100.7954,Pruksa Siri View
674,Ejura,GH,74.91,few clouds,7.3856,-1.3562,Fire Servece
675,Koulikoro,ML,66.76,broken clouds,14.0,-7.75,
676,Mahajanga,MG,77.02,thunderstorm with light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
678,Bertoua,CM,67.32,scattered clouds,4.5833,13.6833,Hotel De Paris
680,Obidos,BR,74.46,overcast clouds,-1.9175,-55.5181,Hotel Amazônia Center
681,Caucaia,BR,82.35,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
685,Kindia,GN,68.68,broken clouds,10.0569,-12.8658,LES EAUX DE KILISSI
687,Damietta,EG,61.0,overcast clouds,31.4165,31.8133,SULIMAN INN
688,Aloleng,PH,82.42,scattered clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
689,Flinders,AU,72.18,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
692,Takoradi,GH,78.96,light rain,4.8845,-1.7554,Raybow International Hotel
