City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Kruisfontein,ZA,2021-12-19 19:18:46,-34.0033,24.7314,66.88,89,49,13.62
156,Fortuna,US,2021-12-19 19:17:27,40.5982,-124.1573,55.65,61,90,1.01
157,Upernavik,GL,2021-12-19 19:18:47,72.7868,-56.1549,28.06,86,100,3.18
158,Port Macquarie,AU,2021-12-19 19:18:47,-31.4333,152.9167,68.9,91,80,3.53
159,East London,ZA,2021-12-19 19:18:48,-33.0153,27.9116,70.5,82,79,18.41
160,Aksarka,RU,2021-12-19 19:18:48,66.5606,67.7975,-29.69,99,99,5.08
161,Katangli,RU,2021-12-19 19:18:48,51.7102,143.2326,-9.29,98,76,9.42
162,Vanimo,PG,2021-12-19 19:18:49,-2.6741,141.3028,76.8,94,99,8.72
163,Lubango,AO,2021-12-19 19:18:49,-14.9172,13.4925,63.16,78,76,1.92
164,Mayo,US,2021-12-19 19:18:50,38.8876,-76.5119,45.9,55,20,10.0
165,Kavieng,PG,2021-12-19 19:18:50,-2.5744,150.7967,81.12,76,99,3.24
166,Whitehorse,CA,2021-12-19 19:16:47,60.7161,-135.0538,-2.18,80,75,2.3
167,Valentin Gomez Farias,MX,2021-12-19 19:18:50,28.2167,-106.5833,45.75,69,100,5.19
168,Cooma,AU,2021-12-19 19:18:51,-36.2333,149.1333,45.99,79,50,3.69
169,Suntar,RU,2021-12-19 19:18:51,62.1444,117.6319,-39.77,98,98,4.23
170,Palmer,US,2021-12-19 19:17:44,42.1584,-72.3287,35.55,65,75,4.0
171,Tsimlyansk,RU,2021-12-19 19:18:51,47.6461,42.1019,35.37,69,100,23.73
172,Vila Velha,BR,2021-12-19 19:18:52,-20.3297,-40.2925,75.15,86,90,8.99
173,Venkatagiri,IN,2021-12-19 19:18:52,13.9667,79.5833,68.18,88,3,4.05
174,Banda Aceh,ID,2021-12-19 19:18:52,5.5577,95.3222,74.61,93,100,11.77
175,Pont-Audemer,FR,2021-12-19 19:18:53,49.35,0.5167,43.59,91,95,10.65
176,Dikson,RU,2021-12-19 19:18:53,73.5069,80.5464,-28.08,98,95,2.08
177,Ostrovnoy,RU,2021-12-19 19:18:53,68.0531,39.5131,19.0,88,100,7.31
178,Puerto Quijarro,BO,2021-12-19 19:18:54,-17.7833,-57.7667,84.09,81,100,1.88
179,Torres,BR,2021-12-19 19:18:54,-29.3353,-49.7269,76.82,65,0,17.27
180,Cabo San Lucas,MX,2021-12-19 19:15:05,22.8909,-109.9124,77.31,64,40,10.36
181,Kerema,PG,2021-12-19 19:18:55,-7.9631,145.7785,75.61,89,100,3.6
182,Cidreira,BR,2021-12-19 19:18:55,-30.1811,-50.2056,73.96,68,0,22.73
183,Gasa,PS,2021-12-19 19:18:55,31.5,34.4667,57.18,52,92,13.29
184,Coahuayana,MX,2021-12-19 19:18:56,18.7333,-103.6833,78.28,47,100,2.71
185,Derzhavinsk,KZ,2021-12-19 19:18:56,51.1,66.3167,17.64,98,95,11.12
186,Lompoc,US,2021-12-19 19:18:56,34.6391,-120.4579,63.57,75,1,3.44
187,Hilo,US,2021-12-19 19:18:57,19.7297,-155.09,74.28,46,90,3.44
188,Bosaso,SO,2021-12-19 19:18:57,11.2842,49.1816,76.48,79,17,6.22
189,Salalah,OM,2021-12-19 19:18:57,17.0151,54.0924,77.09,65,40,6.91
190,Phonhong,LA,2021-12-19 19:18:58,18.5007,102.4166,61.52,86,100,1.48
